ID,session,kull,sex,age
1208,12,1,2,21
1211,12,1,2,21
1212,12,1,1,20
1213,12,1,2,20
1214,12,1,1,24
1215,12,1,2,19
1216,12,1,2,20
1217,12,1,1,21
1218,12,1,2,20
1219,12,1,2,19
1220,12,1,1,18
1221,12,1,2,19
1222,12,1,2,19
1223,12,1,2,19
1224,12,1,2,21
1225,12,1,2,19
1226,12,1,1,18
1236,12,1,2,22
1227,12,1,2,20
1235,12,1,1,20
1228,12,1,1,20
1234,12,1,2,18
1233,12,1,2,23
1230,12,1,2,26
1229,12,1,1,18
1232,12,1,2,20
1231,12,1,2,21
