ID,start,mnr,answer,timestamp
705,2012-02-17 07:25:33,8,1,2012-02-17 07:27:55
705,2012-02-17 07:25:33,9,5,2012-02-17 07:29:38
705,2012-02-17 07:25:33,10,1,2012-02-17 07:30:04
705,2012-02-17 07:25:33,11,1,2012-02-17 07:32:30
705,2012-02-17 07:25:33,12,3,2012-02-17 07:33:16
705,2012-02-17 07:25:33,13,5,2012-02-17 07:33:34
705,2012-02-17 07:25:33,14,1,2012-02-17 07:34:00
705,2012-02-17 07:25:33,15,2,2012-02-17 07:34:24
705,2012-02-17 07:25:33,16,3,2012-02-17 07:35:18
705,2012-02-17 07:25:33,17,5,2012-02-17 07:36:00
705,2012-02-17 07:25:33,18,3,2012-02-17 07:36:25
705,2012-02-17 07:25:33,19,2,2012-02-17 07:37:34
701,2012-02-17 07:25:33,1,5,2012-02-17 07:26:00
701,2012-02-17 07:25:33,2,4,2012-02-17 07:26:13
701,2012-02-17 07:25:33,3,3,2012-02-17 07:26:21
701,2012-02-17 07:25:33,4,2,2012-02-17 07:26:32
701,2012-02-17 07:25:33,5,1,2012-02-17 07:26:46
701,2012-02-17 07:25:33,6,5,2012-02-17 07:27:00
701,2012-02-17 07:25:33,7,4,2012-02-17 07:27:21
701,2012-02-17 07:25:33,8,3,2012-02-17 07:27:44
701,2012-02-17 07:25:33,9,5,2012-02-17 07:28:16
701,2012-02-17 07:25:33,10,1,2012-02-17 07:28:35
701,2012-02-17 07:25:33,11,4,2012-02-17 07:29:05
701,2012-02-17 07:25:33,12,1,2012-02-17 07:30:07
701,2012-02-17 07:25:33,13,5,2012-02-17 07:30:26
701,2012-02-17 07:25:33,14,1,2012-02-17 07:31:28
701,2012-02-17 07:25:33,15,2,2012-02-17 07:31:56
701,2012-02-17 07:25:33,16,3,2012-02-17 07:32:30
701,2012-02-17 07:25:33,17,5,2012-02-17 07:33:13
701,2012-02-17 07:25:33,18,3,2012-02-17 07:33:32
701,2012-02-17 07:25:33,19,2,2012-02-17 07:34:12
701,2012-02-17 07:25:33,20,1,2012-02-17 07:35:02
701,2012-02-17 07:25:33,21,4,2012-02-17 07:37:10
707,2012-02-17 07:25:33,1,5,2012-02-17 07:26:40
707,2012-02-17 07:25:33,2,4,2012-02-17 07:26:50
707,2012-02-17 07:25:33,3,3,2012-02-17 07:27:00
707,2012-02-17 07:25:33,4,2,2012-02-17 07:27:13
707,2012-02-17 07:25:33,5,1,2012-02-17 07:27:20
707,2012-02-17 07:25:33,6,5,2012-02-17 07:27:28
707,2012-02-17 07:25:33,7,4,2012-02-17 07:27:38
707,2012-02-17 07:25:33,8,3,2012-02-17 07:27:43
707,2012-02-17 07:25:33,9,5,2012-02-17 07:28:05
707,2012-02-17 07:25:33,10,1,2012-02-17 07:28:15
707,2012-02-17 07:25:33,11,4,2012-02-17 07:28:30
707,2012-02-17 07:25:33,12,2,2012-02-17 07:28:50
707,2012-02-17 07:25:33,13,5,2012-02-17 07:29:03
707,2012-02-17 07:25:33,14,3,2012-02-17 07:29:37
707,2012-02-17 07:25:33,15,2,2012-02-17 07:29:52
707,2012-02-17 07:25:33,16,3,2012-02-17 07:30:06
707,2012-02-17 07:25:33,17,2,2012-02-17 07:30:28
707,2012-02-17 07:25:33,18,3,2012-02-17 07:30:50
707,2012-02-17 07:25:33,19,3,2012-02-17 07:31:21
707,2012-02-17 07:25:33,20,4,2012-02-17 07:31:46
707,2012-02-17 07:25:33,21,4,2012-02-17 07:32:24
707,2012-02-17 07:25:33,22,5,2012-02-17 07:32:59
707,2012-02-17 07:25:33,23,5,2012-02-17 07:33:24
707,2012-02-17 07:25:33,24,5,2012-02-17 07:34:17
707,2012-02-17 07:25:33,25,4,2012-02-17 07:34:32
707,2012-02-17 07:25:33,26,5,2012-02-17 07:34:56
707,2012-02-17 07:25:33,27,2,2012-02-17 07:35:54
707,2012-02-17 07:25:33,28,2,2012-02-17 07:36:21
706,2012-02-17 07:25:33,1,5,2012-02-17 07:26:27
